"customer_id","product_id"
"65","16"
"28","26"
"82","7"
"90","8"
"35","41"
"45","41"
"55","31"
"10","22"
"63","6"
"43","37"
"21","19"
"54","28"
"42","21"
"78","30"
"55","49"
"73","30"
"56","11"
"13","32"
"45","26"
"47","43"
"44","40"
"73","26"
"14","5"
"89","13"
"30","12"
"64","37"
"70","31"
"28","21"
"60","9"
"95","27"
"51","29"
"68","26"
"2","4"
"47","44"
"77","16"
"36","9"
"45","48"
"89","20"
"44","47"
"59","39"
"42","22"
"8","38"
"27","18"
"38","32"
"77","33"
"26","26"
"59","16"
"16","7"
"33","42"
"13","21"
"26","44"
"35","2"
"11","2"
"18","6"
"67","49"
"58","2"
"23","20"
"74","5"
"2","18"
"82","31"
"48","25"
"62","48"
"93","14"
"66","45"
"33","45"
"24","48"
"38","9"
"71","24"
"80","13"
"63","19"
"43","40"
"61","44"
"46","45"
"90","23"
"11","13"
"28","29"
"47","16"
"73","36"
"66","23"
"31","20"
"47","3"
"22","10"
"82","46"
"69","44"
"69","8"
"13","11"
"94","29"
"32","1"
"57","7"
"18","31"
"4","2"
"76","6"
"91","30"
"18","13"
"18","39"
"45","7"
"10","39"
"97","23"
"74","12"
"28","22"
"9","8"
"58","4"
"41","10"
"4","45"
"22","38"
"87","19"
"5","28"
"47","39"
"94","25"
"87","47"
"69","9"
"67","45"
"8","37"
"39","46"
"41","11"
"15","2"
"13","32"
"57","28"
"74","27"
"84","12"
"89","41"
"61","27"
"90","27"
"89","49"
"39","3"
"70","2"
"1","6"
"90","10"
"54","25"
"99","34"
"7","10"
"96","8"
"59","21"
"2","8"
"42","4"
"90","24"
"94","20"
"10","18"
"84","32"
"24","10"
"80","29"
"43","13"
"59","15"
"89","45"
"6","22"
"94","18"
"3","41"
"85","16"
"12","2"
"28","13"
"69","36"
"98","35"
"69","40"
"25","11"
"83","46"
"96","16"
"71","21"
"80","15"
"80","31"
"89","18"
"85","8"
"26","39"
"100","33"
"11","25"
"51","37"
"38","31"
"95","44"
"29","38"
"94","45"
"53","21"
"99","21"
"71","16"
"12","36"
"100","5"
"53","18"
"56","22"
"46","36"
"25","1"
"73","46"
"24","45"
"41","26"
"56","39"
"47","42"
"47","27"
"64","41"
"53","19"
"41","50"
"42","11"
"29","39"
"28","24"
"86","29"
"15","9"
"50","34"
"24","31"
"85","27"
"19","7"
"19","13"
"4","48"
"23","10"
"99","28"
"84","33"
"80","46"
"1","34"
"65","10"
"71","18"
"83","15"
"23","48"
"95","18"
"74","40"
"54","9"
"93","17"
"81","14"
"5","24"
"6","3"
"14","43"
"65","45"
"89","34"
"96","50"
"87","39"
"26","47"
"42","17"
"99","19"
"64","34"
"97","29"
"47","22"
"64","45"
"90","32"
"64","30"
"43","49"
"12","2"
"44","4"
"40","10"
"89","35"
"100","26"
"66","40"
"20","23"
"44","37"
"58","9"
"23","29"
"86","20"
"3","49"
"68","46"
"61","48"
"89","13"
"67","50"
"53","21"
"39","32"
"37","4"
"37","33"
"88","22"
"39","5"
"72","40"
"57","41"
"59","16"
"8","32"
"9","42"
"62","31"
"19","10"
"69","8"
"66","16"
"81","22"
"20","9"
"11","34"
"22","33"
"24","24"
"41","11"
"33","9"
"67","21"
"43","27"
"9","27"
"19","37"
"37","8"
"42","15"
"97","13"
"67","24"
"45","5"
"80","22"
"62","36"
"84","18"
"66","24"
"100","8"
"26","18"
"33","2"
"16","16"
"66","8"
"33","2"
"84","30"
"36","34"
"86","47"
"43","44"
"30","13"
"92","30"
"87","8"
"19","13"
"30","45"
"28","28"
"20","9"
"35","19"
"22","39"
"38","50"
"44","12"
"19","34"
"12","44"
"59","9"
"26","49"
"91","3"
"17","32"
"86","21"
"14","43"
"66","17"
"34","5"
"57","36"
"8","5"
"43","42"
"56","29"
"75","7"
"31","40"
"81","44"
"66","39"
"62","10"
"55","3"
"51","14"
"58","29"
"43","33"
"49","10"
"3","33"
"90","34"
"28","13"
"55","19"
"91","41"
"66","35"
"33","43"
"8","39"
"48","22"
"73","33"
"50","45"
"43","49"
"96","4"
"61","5"
"67","17"
"77","36"
"43","9"
"19","19"
"92","31"
"44","27"
"94","22"
"73","3"
"33","7"
"18","28"
"81","36"
"53","50"
"43","49"
"66","4"
"93","33"
"52","38"
"26","37"
"11","36"
"53","18"
"99","38"
"62","38"
"83","26"
"76","39"
"43","34"
"10","19"
"10","5"
"10","10"
"69","30"
"69","41"
"62","27"
"39","3"
"27","30"
"43","22"
"57","13"
"95","37"
"48","36"
"13","12"
"85","13"
"28","5"
"54","36"
"13","22"
"20","43"
"3","50"
"8","5"
"84","6"
"16","12"
"37","11"
"46","48"
"32","4"
"4","23"
"12","42"
"1","1"
"16","46"
"58","26"
"91","49"
"98","29"
"53","33"
"69","26"
"50","49"
"85","29"
"16","20"
"62","34"
"95","34"
"39","43"
"40","41"
"36","4"
"25","7"
"36","5"
"93","42"
"23","6"
"68","14"
"2","13"
"58","22"
"89","20"
"86","40"
"76","30"
"25","10"
"22","14"
"43","10"
"42","24"
"22","43"
"71","14"
"63","17"
"10","8"
"98","15"
"63","9"
"52","33"
"74","1"
"59","32"
"76","24"
"25","22"
"64","18"
"8","6"
"57","39"
"78","37"
"55","43"
"40","8"
"27","35"
"17","4"
"29","26"
"22","6"
"90","38"
"90","48"
"80","15"
"9","40"
"62","31"
"25","42"
"23","8"
"7","20"
"53","4"
"42","41"
"33","5"
"91","22"
"3","36"
"11","31"
"38","8"
"22","16"
"42","39"
"64","26"
"40","40"
"10","3"
"21","46"
"79","43"
"21","6"
"59","29"
"28","4"
"11","47"
"88","21"
"55","32"
"98","4"
"13","50"
"36","27"
"77","47"
"97","4"
"1","36"
"46","48"
"83","31"
"89","19"
"35","26"
"52","7"
"61","24"
"59","5"
"18","20"
"35","40"
"64","11"
"54","27"
"54","13"
"22","39"
"75","10"
"26","35"
"4","47"
"18","28"
"51","23"
"21","43"
"25","15"
"84","2"
"60","23"
"49","9"
"3","10"
"39","38"
"9","6"
"6","5"
"89","3"
"55","42"
"9","34"
"52","34"
"14","33"
"70","25"
"52","12"
"61","14"
"41","48"
"43","5"
"79","40"
"97","48"
"80","17"
"14","14"
"57","35"
"82","9"
"68","23"
"53","12"
"10","5"
"56","38"
"92","41"
"14","7"
"73","18"
"48","46"
"19","23"
"15","35"
"53","29"
"17","32"
"35","19"
"22","6"
"9","4"
"14","9"
"40","4"
"2","35"
"10","1"
"89","29"
"31","25"
"73","29"
"19","24"
"39","16"
"52","3"
"73","18"
"98","22"
"59","5"
"45","7"
"15","16"
"65","29"
"71","18"
"82","12"
"4","25"
"12","2"
"22","47"
"80","35"
"41","15"
"87","6"
"60","45"
"39","41"
"38","40"
"10","47"
"76","24"
"28","33"
"92","3"
"32","32"
"31","37"
"50","34"
"37","27"
"4","5"
"6","27"
"17","31"
"47","3"
"95","28"
"83","22"
"38","19"
"48","28"
"73","2"
"1","48"
"13","25"
"87","25"
"39","37"
"59","30"
"57","17"
"55","4"
"81","1"
"79","37"
"20","42"
"55","4"
"4","3"
"26","13"
"66","35"
"70","27"
"14","36"
"52","34"
"32","12"
"77","11"
"96","34"
"32","39"
"74","17"
"96","23"
"14","24"
"79","37"
"82","5"
"88","18"
"85","9"
"78","49"
"9","21"
"27","6"
"58","4"
"71","47"
"47","13"
"17","31"
"62","12"
"66","36"
"62","19"
"29","16"
"13","48"
"87","44"
"45","6"
"74","22"
"11","24"
"54","29"
"61","11"
"49","10"
"33","18"
"74","39"
"93","31"
"2","38"
"44","39"
"90","18"
"17","13"
"16","39"
"47","13"
"2","14"
"56","35"
"22","7"
"57","24"
"64","16"
"93","23"
"57","40"
"81","34"
"38","31"
"51","24"
"51","15"
"27","22"
"26","21"
"55","37"
"10","7"
"69","44"
"28","35"
"51","8"
"14","39"
"50","36"
"22","16"
"40","14"
"60","33"
"4","26"
"6","17"
"41","24"
"18","43"
"17","14"
"5","6"
"9","29"
"64","30"
"70","3"
"6","32"
"67","45"
"33","32"
"22","11"
"62","12"
"17","31"
"93","13"
"28","41"
"19","21"
"47","26"
"27","23"
"19","46"
"9","38"
"60","39"
"78","21"
"64","36"
"43","36"
"70","19"
"9","22"
"99","5"
"1","5"
"56","38"
"64","48"
"3","10"
"73","26"
"60","39"
"31","16"
"34","16"
"27","47"
"86","15"
"64","12"
"87","48"
"94","15"
"22","2"
"92","20"
"17","29"
"4","29"
"77","48"
"35","27"
"14","14"
"6","6"
"53","48"
"2","43"
"85","34"
"53","36"
"45","36"
"37","29"
"37","27"
"52","14"
"53","46"
"49","12"
"48","3"
"90","19"
"74","21"
"27","41"
"30","32"
"94","28"
"73","39"
"32","1"
"70","44"
"90","16"
"69","19"
"30","41"
"20","37"
"68","12"
"81","8"
"86","33"
"77","24"
"60","40"
"29","23"
"47","33"
"67","31"
"96","16"
"65","36"
"78","34"
"26","46"
"94","37"
"99","33"
"39","8"
"35","25"
"92","43"
"41","41"
"99","48"
"75","6"
"41","45"
"53","48"
"46","9"
"85","28"
"4","20"
"16","2"
"19","25"
"37","39"
"37","48"
"36","33"
"86","45"
"80","36"
"52","22"
"42","8"
"45","48"
"20","17"
"68","22"
"53","5"
"92","5"
"5","16"
"22","7"
"29","2"
"37","47"
"57","18"
"91","11"
"15","39"
"16","11"
"84","44"
"37","42"
"52","44"
"35","3"
"28","45"
"82","18"
"20","6"
"79","32"
"47","48"
"82","7"
"16","25"
"33","25"
"57","38"
"48","19"
"9","2"
"3","39"
"58","45"
"25","25"
"9","42"
"66","34"
"18","13"
"58","29"
"42","37"
"56","15"
"8","37"
"72","26"
"22","27"
"58","10"
"1","48"
"52","2"
"58","10"
"5","1"
"77","8"
"27","43"
"52","42"
"64","46"
"97","13"
"54","37"
"50","25"
"76","9"
"46","15"
"88","26"
"70","25"
"78","22"
"44","23"
"69","15"
"23","20"
"19","14"
"88","46"
"50","1"
"80","44"
"52","24"
"77","2"
"87","28"
"75","20"
"79","15"
"5","10"
"27","49"
"32","14"
"56","46"
"58","16"
"68","10"
"56","2"
"78","24"
"42","45"
"99","23"
"37","18"
"58","33"
"4","9"
"34","2"
"45","44"
"98","23"
"52","25"
"82","31"
"26","38"
"59","49"
"81","24"
"41","12"
"12","34"
"70","2"
"40","8"
"95","15"
"19","43"
"28","46"
"22","8"
"59","17"
"95","4"
"83","7"
"48","46"
"83","49"
"35","34"
"2","5"
"88","16"
"36","9"
"68","28"
"73","35"
"27","2"
"18","27"
"9","49"
"81","22"
"64","45"
"63","31"
"12","5"
"56","30"
"43","46"
"53","11"
"55","25"
"98","29"
"97","19"
"25","5"
"82","46"
"26","11"
"84","35"
"73","37"
"35","19"
"76","50"
"62","42"
"59","8"
"91","44"
"95","25"
"89","12"
"83","28"
"69","35"
"55","37"
"86","22"
"89","32"
"66","3"
"17","27"
"73","31"
"94","45"
"56","14"
"16","8"
"81","47"
"75","43"
"37","2"
"31","23"
"89","25"
"51","22"
"37","18"
"74","50"
"47","38"
"35","31"
"92","12"
"4","48"
"80","22"
"57","25"
"65","47"
"63","30"
"82","8"
"79","47"
"70","2"
"82","9"
"61","19"
"42","37"
"21","39"
"92","24"
"60","33"
"28","41"
"16","50"
"53","4"
"1","4"
"25","42"
"29","39"
"94","43"
"13","4"
"29","36"
"70","36"
"7","20"
"31","32"
"15","12"
"30","28"
"42","40"
"89","14"
"60","48"
"31","43"
"8","50"
"47","3"
"18","42"
"44","9"
"66","6"
"13","43"
"47","48"
"40","45"
"78","30"
"52","35"
"76","13"
"93","42"
"33","50"
"11","28"
"40","8"
"48","49"
"76","9"
"77","5"
"10","31"
"20","6"
"21","20"
"55","19"
"27","7"
"97","19"
"94","30"
"50","18"
"95","43"
"55","41"
"66","46"
"62","32"
"99","12"
"94","15"
"52","2"
"48","2"
"46","43"
"89","32"
"3","45"
"9","31"
"52","12"
"88","4"
"6","23"
"87","33"
"31","44"
"93","22"
"67","32"
"12","14"
"39","38"
"43","39"
"54","5"
"2","37"
